S000000027	YAL029C	MYO4	ORF	DOID:0060775	microvillus inclusion disease	ISS		HGNC:7603	manually curated	25860149	Menconi G, et al. (2015) Global mapping of DNA conformational flexibility on Saccharomyces cerevisiae. PLoS Comput Biol 11(4):e1004136
S000000027	YAL029C	MYO4	ORF	DOID:0060832	Griscelli syndrome type 1	ISS		HGNC:7602	manually curated	25860149	Menconi G, et al. (2015) Global mapping of DNA conformational flexibility on Saccharomyces cerevisiae. PLoS Comput Biol 11(4):e1004136
S000000027	YAL029C	MYO4	ORF	DOID:1909	melanoma	ISS		HGNC:7602	manually curated	25860149	Menconi G, et al. (2015) Global mapping of DNA conformational flexibility on Saccharomyces cerevisiae. PLoS Comput Biol 11(4):e1004136
S000000027	YAL029C	MYO4	ORF	DOID:6713	cerebrovascular disease	ISS		HGNC:7602	manually curated	25860149	Menconi G, et al. (2015) Global mapping of DNA conformational flexibility on Saccharomyces cerevisiae. PLoS Comput Biol 11(4):e1004136
S000000037	YAL039C	CYC3	ORF	DOID:10629	microphthalmia	IGI		HGNC:4837	manually curated	11827457	Schwarz QP and Cox TC (2002) Complementation of a yeast CYC3 deficiency identifies an X-linked mammalian activator of apocytochrome c. Genomics 79(1):51-7
S000000037	YAL039C	CYC3	ORF	DOID:10629	microphthalmia	IGI		HGNC:4837	manually curated	17033964	Wimplinger I, et al. (2006) Mutations of the mitochondrial holocytochrome c-type synthase in X-linked dominant microphthalmia with linear skin defects syndrome. Am J Hum Genet 79(5):878-89
S000000037	YAL039C	CYC3	ORF	DOID:10629	microphthalmia	ISS		HGNC:4837	manually curated	11827457	Schwarz QP and Cox TC (2002) Complementation of a yeast CYC3 deficiency identifies an X-linked mammalian activator of apocytochrome c. Genomics 79(1):51-7
S000000037	YAL039C	CYC3	ORF	DOID:10629	microphthalmia	ISS		HGNC:4837	manually curated	17033964	Wimplinger I, et al. (2006) Mutations of the mitochondrial holocytochrome c-type synthase in X-linked dominant microphthalmia with linear skin defects syndrome. Am J Hum Genet 79(5):878-89
S000000046	YAL048C	GEM1	ORF	DOID:14330	Parkinson's disease	ISS		HGNC:21168	manually curated	33891013	Guillén-Samander A, et al. (2021) VPS13D bridges the ER to mitochondria and peroxisomes via Miro. J Cell Biol 220(5)
S000000116	YBL020W	RFT1	ORF	DOID:0050570	congenital disorder of glycosylation type I	IGI		HGNC:30220	manually curated	18313027	Haeuptle MA, et al. (2008) Human RFT1 deficiency leads to a disorder of N-linked glycosylation. Am J Hum Genet 82(3):600-6
S000000116	YBL020W	RFT1	ORF	DOID:0050570	congenital disorder of glycosylation type I	ISS		HGNC:30220	manually curated	18313027	Haeuptle MA, et al. (2008) Human RFT1 deficiency leads to a disorder of N-linked glycosylation. Am J Hum Genet 82(3):600-6
